_id	model.x	model.y	clust_3	lemma	newspaper	country	formality	_cws.model	_ctxt.model	disambiguation
laaiend/adj/volkskrant_19990415_0/37	-52.54537678	17.22807025	2	laaiend	volkskrant	Netherlands	quality	medeverantwoordelijk/adj;ben/verb;in/prep;Haag/name;ben/verb	<small>een moord in de Haagse Schilderswijk . Haar conclusies : de moord was racistisch en</small> de politie <u>is</u><sup>652.426</sup> <u>medeverantwoordelijk</u><sup>5.428</sup> . <span class='target'>Laaiend</span> <u>zijn</u><sup>652.426</sup> ze <u>in</u><sup>18.376</sup> Den <u>Haag</u><sup>1.0</sup> <small>. Wat is Braam aan het doen ? Was de moord op Mehmet Yilmaz ,</small>	furious
woedend/adj/parool_20010601_59/338	12.01346575	-43.46985565	3	woedend	parool	Netherlands	popular	nabestaande/noun;slachtoffer/noun;aanslag/noun;van/prep;verzoek/noun;reageer/verb;op/prep	<small>er van uitstel geen sprake kan zijn . In Oklahoma City hebben overlevenden van de</small> <u>aanslag</u><sup>23.501</sup> en <u>nabestaanden</u><sup>36.102</sup> <u>van</u><sup>1.792</sup> <u>slachtoffers</u><sup>12.123</sup> <span class='target'>woedend</span> <u>gereageerd</u><sup>6020.606</sup> <u>op</u><sup>792.851</sup> McVeighs <u>verzoek</u><sup>1.867</sup> . <small>Ze wijzen erop dat er niets in de opgedoken stukken staat dat hem vrijpleit van</small>	furious
laaiend/adj/de_standaard_20040122_01_65/176	9.497794197	26.16902081	3	laaiend	de_standaard	Belgium	quality	in/prep;dorp_DIM/noun;'s/adv;zomers/adv;Alentejo/name;in/prep;heet/adj;landstreek/noun	<small>ook te beluisteren in de Portugese fado-muziek ) . De blik speelt in een armoedig</small> <u>dorpje</u><sup>2.311</sup> <u>in</u><sup>18.376</sup> de <u>'s</u><sup>1.996</sup> <u>zomers</u><sup>5.053</sup> <span class='target'>laaiend</span> <u>hete</u><sup>5.623</sup> <u>landstreek</u><sup>9.898</sup> <u>Alentejo</u><sup>12.039</sup> . <u>In</u><sup>18.376</sup> <small>dat decor spelen zich de levens af van mensen die begrijpen dat het bestaan een</small>	burning
laaiend/adj/het_nieuwsblad_20030510_01_78/178	11.48123261	-14.63332843	3	laaiend	het_nieuwsblad	Belgium	popular	onder/prep;Leona/name;Detiège/name;SP.A/name;burgemeester/noun	<small>een beetje ongelukkig : " Dat is geen toeval . Zo'n natuurlijke netwerken bestaan alleen</small> <u>onder</u><sup>1.125</sup> mannen . " Een <span class='target'>laaiende</span> <u>burgemeester</u><sup>1.937</sup> <u>Leona</u><sup>4.719</sup> <u>Detiège</u><sup>4.095</sup> ( <u>SP.A</u><sup>4.358</sup> <small>) stapte meteen op en sloot zich op in haar kantoor . De meeste vrouwelijke</small>	furious
woedend/adj/nrc_handelsblad_20000902_92/577	-20.623003	4.125461707	3	woedend	nrc_handelsblad	Netherlands	quality	;niet/adv;maak/verb;laat/verb	<small>Louis , zet je schrap , blaf als vanouds , schop om je heen en</small> drink de drank die je <span class='target'>woedend</span> <u>maakt</u><sup>42.383</sup> . <u>Laat</u><sup>1.794</sup> je <u>niet</u><sup>127.364</sup> <small>kisten in het graf van de communicatieve souplesse die in Zeist wordt voorgeschreven . We</small>	furious
laaiend/adj/parool_19990406_31/40	-57.62759556	23.11932837	2	laaiend	parool	Netherlands	popular	ben/verb;scheidsrechter/noun	<small>mei 1995 ) BOBBY HAARMS : " Ja , die karatetrap van Louis . We</small> <u>waren</u><sup>652.426</sup> op dat moment zo <span class='target'>laaiend</span> op de <u>scheidsrechter</u><sup>7.078</sup> dat we <small>het alledrie wel hadden kunnen doen , Louis , Gerard van der Lem en ik</small>	furious
laaiend/adj/parool_20000317_3/534	-8.779256578	9.75030424	3	laaiend	parool	Netherlands	popular	uit/prep;gerucht/noun;van/prep;wrak/noun;van/prep	<small>raket afvuurt . O Noet ! O Osiris ! De aanslag was al dagen onderwerp</small> <u>van</u><sup>8.872</sup> <u>geruchten</u><sup>4.419</sup> . <u>Uit</u><sup>7.424</sup> het <span class='target'>laaiende</span> <u>wrak</u><sup>3.578</sup> <u>van</u><sup>8.872</sup> de bus stijg <small>jij zilverwit omhoog , gewiegd in de armen van Noet . Je waait op een</small>	burning
woedend/adj/nrc_handelsblad_20010713_115/1302	11.169331	11.52896711	3	woedend	nrc_handelsblad	Netherlands	quality	bijt/verb;schaal/noun;verlaat/verb;om/prep	<small>. " Dadelijk na hunne geboorte ijlen zij naar 't water . Reeds bij het</small> <u>verlaten</u><sup>172.566</sup> der <u>schaal</u><sup>1.068</sup> <u>bijten</u><sup>4.404</sup> zij <span class='target'>woedend</span> <u>om</u><sup>9.661</sup> zich heen " , <small>aldus de Encyclopaedie van Nederlandsch-Indië . Krokodillen worden door de bevolking ook nergens als huisdier</small>	furious
laaiend/adj/nrc_handelsblad_20030526_91/478	-5.583514489	-7.091975952	3	laaiend	nrc_handelsblad	Netherlands	quality	goed/adj;van/prep;word/verb;als/prep;ontvang/verb	<small>zijn eigen stukken . Deze hattrick leverde hem prima kritieken op maar ook zijn platen</small> <u>van</u><sup>8.872</sup> daarvoor <u>werden</u><sup>6.391</sup> <u>goed</u><sup>4.697</sup> tot <span class='target'>laaiend</span> <u>ontvangen</u><sup>39.056</sup> . <u>Als</u><sup>2.838</sup> voorbeeld de <small>in '97 verschenen cd Fred Hersch plays Monk waarover in de Penguin Guide to Jazz</small>	other
woedend/adj/parool_19990304_11/289	-1.294474045	29.02406812	3	woedend	parool	Netherlands	popular	;De/name;in/prep;laat_uit/verb;Telegraaf/name	<small>de rellen in West heeft aanbevolen , heeft de woede gewekt van voorzitter Harry van</small> Rijn , die zich daarover <span class='target'>woedend</span> <u>uitlaat</u><sup>4.476</sup> <u>in</u><sup>252.829</sup> <u>De</u><sup>1.56</sup> <u>Telegraaf</u><sup>3.517</sup> . <small>De auto van de jongens trok gisteravond de aandacht doordat het achterlicht en de richtingaanwijzer</small>	furious
laaiend/adj/de_morgen_20040625_01_15/460	37.34613866	-18.70029195	1	laaiend	de_morgen	Belgium	quality	niet/adv;ben/verb;enthoesiast/adj;over/prep	<small>het titaniumweefsel . " Hij raadt de operatie aan voor alle vrouwen onder de zestig</small> . Toch <u>is</u><sup>652.426</sup> <u>niet</u><sup>6.371</sup> iedereen <span class='target'>laaiend</span> <u>enthousiast</u><sup>6715.698</sup> <u>over</u><sup>477.063</sup> de titaniumborsten . <small>Dokter Saylan presenteerde zijn nieuwe techniek voor het eerst aan de rest van de plastische</small>	very
woedend/adj/parool_20001218_97/344	-44.60425269	41.79250256	2	woedend	parool	Netherlands	popular	Loenen/name;sprakeloos/adj;ben/verb;Van/name;	<small>VLM in ieder geval geen bouwgrond toegewezen kreeg en mogelijk zelfs weggesaneerd zou worden .</small> <u>Van</u><sup>2.327</sup> <u>Loenen</u><sup>9.38</sup> <u>was</u><sup>2501.793</sup> <u>sprakeloos</u><sup>16.069</sup> en <span class='target'>woedend</span> . Hij vermoedt dat hij <small>nooit een serieuze kandidaat is geweest en verwijt de gemeente geen open kaart te hebben</small>	furious
laaiend/adj/de_morgen_20000531_01_15/2751	-15.42996965	17.14543547	3	laaiend	de_morgen	Belgium	quality	1966/noun;zomer/noun	<small>in zijn schimmige machtsspelletjes De Culturele Revolutie is voor Jiang Qing een fantastische tijd .</small> ' Juni <u>1966</u><sup>9.562</sup> . Mijn <span class='target'>laaiende</span> <u>zomer</u><sup>5.301</sup> . ' Eindelijk komt <small>de erkenning waar ze al haar hele leven naar hunkert . ( Foto Van Parys</small>	other
woedend/adj/algemeen_dagblad_20031128_44/119	-44.97716298	-1.745808436	3	woedend	algemeen_dagblad	Netherlands	popular	ben/verb;van/prep;trainer/noun;FK/name;Teplice/name;club/noun;op/prep;trainer/noun	<small>na de wedstrijd bijna toen hem naar zijn mening over Feyenoord werd gevraagd . De</small> <u>trainer</u><sup>4.864</sup> <u>van</u><sup>1.792</sup> <u>FK</u><sup>11.225</sup> <u>Teplice</u><sup>5.205</sup> <u>was</u><sup>2501.793</sup> <span class='target'>woedend</span> <u>op</u><sup>792.851</sup> de <u>club</u><sup>4.698</sup> en <u>trainer</u><sup>4.864</sup> <small>Bert van Marwijk . " Hij gaf me niet eens een hand na afloop .</small>	furious
woedend/adj/nrc_handelsblad_20000615_29/29	3.736560955	-14.81600677	3	woedend	nrc_handelsblad	Netherlands	quality	protesteer/verb;gisteren/adv;Berisha/name;besluit/noun;van/prep;tegen/prep	<small>oppositieleider Sali Berisha heeft het VN-bestuur in Kosovo beschuldigd van betrokkenheid bij wapensmokkel en andere</small> misdrijven . <u>Berisha</u><sup>3.723</sup> <u>protesteerde</u><sup>44.276</sup> <u>gisteren</u><sup>92.819</sup> <span class='target'>woedend</span> <u>tegen</u><sup>16.053</sup> een <u>besluit</u><sup>111.618</sup> <u>van</u><sup>1.792</sup> de <small>leider van het VN-bestuur in Kosovo , Bernard Kouchner , hem " om veiligheidsredenen '</small>	furious
